ID_DICHIARAZIONE,a_codice_ordine,a_cod_comparto,a_anno,a_mese,a_trimestre,a_peso_totale,a_imponibile
20003,AEE00200032016D,D,2016,3,1,"1806736,63",199083.02
20004,AEE00200042016P,P,2016,3,1,804,18.49
20039,AEE00200392016P,P,2016,3,1,482,11.09
20056,AEE00200562016D,D,2016,3,1,0,0
20064,AEE00200642016P,P,2016,3,1,0,0
20065,AEE00200652016P,P,2016,3,1,13639,313.7
20082,AEE00200822016D,D,2016,3,1,"62,592",51.29
20089,AEE00200892016P,P,2016,3,1,"262,1",2.62
20090,AEE00200902016D,D,2016,3,1,"4710,609",128.08
20108,AEE00201082016D,D,2016,3,1,319,7
20112,AEE00201122016P,P,2016,3,1,0,0
20113,AEE00201132016P,P,2016,3,1,540,12.42
20120,AEE00201202016D,D,2016,3,1,0,0
20133,AEE00201332016D,D,2016,3,1,0,0
20146,AEE00201462016D,D,2016,3,1,12810,153.72
20151,AEE00201512016P,P,2016,3,1,0,0
20188,AEE00201882016D,D,2016,3,1,1676,167.6
20197,AEE00201972016D,D,2016,3,1,"120782,2",1207.82
20202,AEE00202022016D,D,2016,3,1,0,0
20225,AEE00202252016P,P,2016,3,1,8085,88.94
20228,AEE00202282016D,D,2016,3,1,8800,133.28
20235,AEE00202352016P,P,2016,3,1,1145,35.38
20259,AEE00202592016D,D,2016,3,1,866,8.66
20272,AEE00202722016P,P,2016,3,1,1128,101.15
20275,AEE00202752016P,P,2016,3,1,"148,66",3.42
20286,AEE00202862016P,P,2016,3,1,103,2.37
20301,AEE00203012016P,P,2016,3,1,3276,39.31
20315,AEE00203152016P,P,2016,3,1,"106,7",2.45
20325,AEE00203252016D,D,2016,3,1,"445,5",10.25
20327,AEE00203272016D,D,2016,3,1,"80966,63",16608.87
20337,AEE00203372016D,D,2016,3,1,"172,45",3.98
20360,AEE00203602016D,D,2016,3,1,"9104,53",2276.13
20373,AEE00203732016D,D,2016,3,1,692,13.84
20375,AEE00203752016P,P,2016,3,1,"16,26",2.93
20381,AEE00203812016D,D,2016,3,1,0,0
20386,AEE00203862016D,D,2016,3,1,193,29.18
20388,AEE00203882016P,P,2016,3,1,52099,1198.28
20389,AEE00203892016P,P,2016,3,1,12950,297.85
20399,AEE00203992016P,P,2016,3,1,50,9
20414,AEE00204142016D,D,2016,3,1,0,0
20418,AEE00204182016D,D,2016,3,1,28,0.66
20422,AEE00204222016P,P,2016,3,1,"5101,6",117.34
20425,AEE00204252016D,D,2016,3,1,0,0
20426,AEE00204262016P,P,2016,3,1,0,0
20428,AEE00204282016D,D,2016,3,1,9718,223.51
20438,AEE00204382016D,D,2016,3,1,5035,636
20440,AEE00204402016P,P,2016,3,1,"605,01",13.92
20444,AEE00204442016D,D,2016,3,1,"0,1",0.02
20445,AEE00204452016D,D,2016,3,1,"98,036",1.08
20473,AEE00204732016P,P,2016,3,1,0,0
20474,AEE00204742016D,D,2016,3,1,4,0.05
20475,AEE00204752016P,P,2016,3,1,4,0.05
20493,AEE00204932016P,P,2016,3,1,0,0
20494,AEE00204942016D,D,2016,3,1,0,0
20508,AEE00205082016D,D,2016,3,1,0,0
20512,AEE00205122016D,D,2016,3,1,112,14
20520,AEE00205202016D,D,2016,3,1,239,5.5
20529,AEE00205292016P,P,2016,3,1,"1955,58",44.98
20530,AEE00205302016D,D,2016,3,1,"5,85",1.7
20532,AEE00205322016P,P,2016,3,1,"3,55",0.08
20548,AEE00205482016D,D,2016,3,1,"38361,2",567.94
20550,AEE00205502016D,D,2016,3,1,"20315,8",467.26
20552,AEE00205522016P,P,2016,3,1,53483,641.8
20560,AEE00205602016D,D,2016,3,1,"30329,46",366.11
20565,AEE00205652016D,D,2016,3,1,0,0
20582,AEE00205822016D,D,2016,3,1,"187,43",3.37
20583,AEE00205832016D,D,2016,3,1,103,2.37
20584,AEE00205842016P,P,2016,3,1,131,3.47
20602,AEE00206022016D,D,2016,3,1,"25,08",0.58
20603,AEE00206032016P,P,2016,3,1,"4021,6",48.26
20615,AEE00206152016D,D,2016,3,1,47471,15902.79
20635,AEE00206352016D,D,2016,3,1,"7228,305",79.52
20638,AEE00206382016D,D,2016,3,1,0,0
20655,AEE00206552016P,P,2016,3,1,"3,2",0.07
20657,AEE00206572016D,D,2016,3,1,"32,463",0.76
20677,AEE00206772016D,D,2016,3,1,23,0.53
20700,AEE00207002016D,D,2016,3,1,"66,05",6.61
20701,AEE00207012016D,D,2016,3,1,7450,144.42
20706,AEE00207062016P,P,2016,3,1,0,0
20707,AEE00207072016P,P,2016,3,1,0,0
20709,AEE00207092016D,D,2016,4,2,"1525178,03",230588.21
20714,AEE00207142016D,D,2016,3,1,0,0
20723,AEE00207232016D,D,2016,3,1,1,0.02
20731,AEE00207312016P,P,2016,3,1,"751,24",135.22
20758,AEE00207582016D,D,2016,3,1,29,1.12
20774,AEE00207742016P,P,2016,3,1,"171,55",3.95
20776,AEE00207762016D,D,2016,5,2,"1974442,606",259689.65
20777,AEE00207772016D,D,2016,1,1,1443163,157794.31
20778,AEE00207782016D,D,2016,2,1,1699853,177113.97
20780,AEE00207802016D,D,2016,3,1,4,0.09
20781,AEE00207812016D,D,2016,3,1,3578,82.29
